address,property_status,sale_amount,sale_date,multi_lot_sale
"16 KATHLEEN ST, COTTESLOE",Non Strata,1335000,2017-07-18,N
"34 NORTH ST, COTTESLOE",Non Strata,2357500,2023-09-11,N
"3 ACKLAND WAY, COTTESLOE",Non Strata,3985000,2023-07-08,N
"23 ANDREWS PL, COTTESLOE",Non Strata,12000000,2023-07-21,N
"12 BOREHAM ST, COTTESLOE",Non Strata,3200000,2023-09-20,N
"31 DEANE ST, COTTESLOE",Strata,2900000,2023-10-25,N
"14 B BROOME ST, COTTESLOE",Strata,3400000,2023-04-23,N
"12 MARINE PDE, COTTESLOE",Non Strata,4940000,2023-05-31,N
"16 WILLIAM ST, COTTESLOE",Non Strata,3380000,2023-08-29,N
"489 STIRLING HWY, COTTESLOE",Non Strata,1450000,2023-09-04,N
"16 KATHLEEN ST, COTTESLOE",Non Strata,1335000,2017-07-18,N
"253 CURTIN AV, COTTESLOE",Non Strata,1250000,2023-10-23,N
"9 BURT ST, COTTESLOE",Non Strata,2651100,2023-06-26,Y
"9 A BURT ST, COTTESLOE",Non Strata,2651100,2023-06-26,Y
"205/28 STATION ST, COTTESLOE",Strata,891000,2023-07-20,N
"8 A NAILSWORTH ST, COTTESLOE",Non Strata,5000000,2023-08-23,N
"13 JOHN ST, COTTESLOE",Non Strata,5000000,2023-06-14,N
"13 C OVERTON GDNS, COTTESLOE",Strata,2820000,2023-02-27,N
"13 OVERTON GDNS, COTTESLOE",Non Strata,2850000,2020-11-28,N
"18 DEANE ST, COTTESLOE",Non Strata,2500000,2009-01-20,N
"29 AVONMORE TCE, COTTESLOE",Non Strata,3500000,2014-11-07,N
"34 A AVONMORE TCE, COTTESLOE",Vacant,5185000,2016-05-27,N
"42 C MARINE PDE, COTTESLOE",Strata,5600000,2023-09-01,N
"18 MARINE PDE, COTTESLOE",Non Strata,4970000,2023-08-23,N
"9/1 DE BERNALES WALK, COTTESLOE",Strata,945000,2023-08-28,N
"38 BEACH ST, COTTESLOE",Non Strata,2100000,2023-09-08,N
"7/4 WARNHAM RD, COTTESLOE",Strata,1295000,2023-10-08,N
"107 ERIC ST, COTTESLOE",Non Strata,2200000,2023-09-13,N
"28 STATION ST, COTTESLOE",Strata,891000,2023-07-20,N
"18 MARINE PDE, COTTESLOE",Non Strata,4970000,2023-08-23,N
"107 ERIC ST, COTTESLOE",Non Strata,2200000,2023-09-13,N
"4 HAINING AV, COTTESLOE",Non Strata,3800000,2023-06-13,N
"11/589 STIRLING HWY, COTTESLOE",Strata,325000,2023-10-03,N
"199 BROOME ST, COTTESLOE",Non Strata,4450000,2022-05-31,N
"23 ANDREWS PL, COTTESLOE",Non Strata,12000000,2023-07-21,N
"4 HAINING AV, COTTESLOE",Non Strata,3800000,2023-06-13,N
"212/14 MCNAMARA WAY, COTTESLOE",Strata,372500,2023-09-07,N
"489 STIRLING HWY, COTTESLOE",Non Strata,1450000,2023-09-04,N
"13 C OVERTON GDNS, COTTESLOE",Strata,2820000,2023-02-27,N
"42 C MARINE PDE, COTTESLOE",Strata,5600000,2023-09-01,N
"212/14 MCNAMARA WAY, COTTESLOE",Strata,372500,2023-09-07,N
"9 A BURT ST, COTTESLOE",Non Strata,2651100,2023-06-26,Y
"9 BURT ST, COTTESLOE",Non Strata,2651100,2023-06-26,Y
"40 HAWKSTONE ST, COTTESLOE",Non Strata,3900000,2023-08-24,N
"8 A NAILSWORTH ST, COTTESLOE",Non Strata,5000000,2023-08-23,N
"113 GRANT ST, COTTESLOE",Non Strata,4800000,2023-06-17,Y
"113 A GRANT ST, COTTESLOE",Non Strata,4800000,2023-06-17,Y
"14/14 MCNAMARA WAY, COTTESLOE",Strata,383750,2023-07-04,N
"489 STIRLING HWY, COTTESLOE",Non Strata,1450000,2023-09-04,N
"L84 RAILWAY ST, COTTESLOE",Non Strata,412500,2002-05-31,Y
"70 RAILWAY ST, COTTESLOE",Non Strata,1500000,2021-10-14,Y
"74 HAWKSTONE ST, COTTESLOE",Non Strata,2500000,2007-10-29,N
"83 A GRANT ST, COTTESLOE",Non Strata,1875000,2015-05-20,Y
"83 GRANT ST, COTTESLOE",Non Strata,1875000,2015-05-20,Y
"44 FLORENCE ST, COTTESLOE",Non Strata,1700000,2019-04-24,N
"71 HAWKSTONE ST, COTTESLOE",Non Strata,2350000,2022-10-05,N
"47 FLORENCE ST, COTTESLOE",Strata,1100000,2015-02-01,N
"45 FLORENCE ST, COTTESLOE",Non Strata,1880000,2013-03-13,N
"43 FLORENCE ST, COTTESLOE",Non Strata,1925000,2020-02-17,N
"28 STATION ST, COTTESLOE",Strata,891000,2023-07-20,N
"66 HAWKSTONE ST, COTTESLOE",Non Strata,2600000,2020-02-04,N
"71 GRANT ST, COTTESLOE",Non Strata,3180000,2021-02-24,N
"68 HAWKSTONE ST, COTTESLOE",Non Strata,1500000,2015-02-23,N
"71 A GRANT ST, COTTESLOE",Vacant,1365000,2014-09-06,N
"62 HAWKSTONE ST, COTTESLOE",Non Strata,1450000,2015-05-31,N
"58 HAWKSTONE ST, COTTESLOE",Non Strata,1520000,2019-04-25,N
"60 HAWKSTONE ST, COTTESLOE",Non Strata,1400000,2012-06-07,N
"73 GRANT ST, COTTESLOE",Non Strata,2000000,2022-09-05,N
"75 A GRANT ST, COTTESLOE",Non Strata,1385000,2016-06-11,N
"64 HAWKSTONE ST, COTTESLOE",Non Strata,2900000,2023-05-01,N
"69 HAWKSTONE ST, COTTESLOE",Non Strata,2850000,2021-12-13,N
"59 HAWKSTONE ST, COTTESLOE",Non Strata,2630000,2023-03-31,N
"57 HAWKSTONE ST, COTTESLOE",Non Strata,1380000,2009-10-15,N
"42 FLORENCE ST, COTTESLOE",Non Strata,1725000,2013-11-28,N
"67 HAWKSTONE ST, COTTESLOE",Non Strata,2850000,2022-03-05,N
"61 HAWKSTONE ST, COTTESLOE",Non Strata,2500000,2012-06-20,N
"34 FLORENCE ST, COTTESLOE",Non Strata,1900000,2017-01-30,N
"32 FLORENCE ST, COTTESLOE",Non Strata,1855000,2020-09-03,N
"80 ERIC ST, COTTESLOE",Non Strata,1480000,2016-12-11,N
"29 FLORENCE ST, COTTESLOE",Non Strata,2020000,2012-07-11,N
"74 ERIC ST, COTTESLOE",Non Strata,1810000,2019-09-15,N
"35 FLORENCE ST, COTTESLOE",Non Strata,3500000,2014-11-07,N
"243 CURTIN AV, COTTESLOE",Vacant,1324650,1997-02-05,N
"67 GRANT ST, COTTESLOE",Non Strata,4200000,2022-09-09,N
"61 A GRANT ST, COTTESLOE",Non Strata,2015000,2023-02-17,N
"50 HAWKSTONE ST, COTTESLOE",Non Strata,3000000,2021-03-05,N
"69 GRANT ST, COTTESLOE",Non Strata,2675000,2019-07-30,N
"52 HAWKSTONE ST, COTTESLOE",Non Strata,1700000,2008-10-07,N
"65 GRANT ST, COTTESLOE",Non Strata,2525000,2013-05-02,N
"45 HAWKSTONE ST, COTTESLOE",Non Strata,1265000,2009-05-20,N
"24 FLORENCE ST, COTTESLOE",Non Strata,2150000,2009-11-21,N
"51 HAWKSTONE ST, COTTESLOE",Non Strata,2650000,2011-09-07,N
"26 FLORENCE ST, COTTESLOE",Strata,2250000,2014-04-17,N
"18 FLORENCE ST, COTTESLOE",Non Strata,1650000,2009-11-20,N
"21 FLORENCE ST, COTTESLOE",Non Strata,2495000,2017-11-28,N
"17 FLORENCE ST, COTTESLOE",Non Strata,1530000,2015-04-17,N
"70 ERIC ST, COTTESLOE",Non Strata,1537500,2017-08-26,N
"64 ERIC ST, COTTESLOE",Non Strata,1708500,2018-01-19,N
"3/72 ERIC ST, COTTESLOE",Strata,1400000,2015-08-17,N
"25 FLORENCE ST, COTTESLOE",Non Strata,1870000,2014-02-07,N
"23 FLORENCE ST, COTTESLOE",Non Strata,1650000,2020-05-09,N
"66 ERIC ST, COTTESLOE",Non Strata,2183500,2021-01-19,N
"68 ERIC ST, COTTESLOE",Non Strata,1795000,2019-12-09,N
"27 FLORENCE ST, COTTESLOE",Non Strata,1600000,2010-03-10,N
"59 GRANT ST, COTTESLOE",Non Strata,1400000,2016-12-04,N
"302 MARMION ST, COTTESLOE",Non Strata,2190000,2008-04-02,N
"298 MARMION ST, COTTESLOE",Non Strata,3620000,2015-08-23,N
"290 MARMION ST, COTTESLOE",Non Strata,2850000,2016-05-04,N
"284 MARMION ST, COTTESLOE",Non Strata,1815000,2010-03-17,N
"296 MARMION ST, COTTESLOE",Non Strata,1955500,2009-10-09,N
"279 A MARMION ST, COTTESLOE",Strata,1100000,2016-01-23,N
"276 MARMION ST, COTTESLOE",Non Strata,1825000,2012-10-09,N
"278 MARMION ST, COTTESLOE",Non Strata,528816,2009-08-13,N
"40 HAWKSTONE ST, COTTESLOE",Non Strata,3900000,2023-08-24,N
"8 A NAILSWORTH ST, COTTESLOE",Non Strata,5000000,2023-08-23,N
"45 JOHN ST, COTTESLOE",Non Strata,847000,2002-07-27,Y
"58 NORTH ST, COTTESLOE",Non Strata,3700000,2023-06-03,N
"20 F WARNHAM RD, COTTESLOE",Non Strata,420000,1993-03-23,Y
"16 B PRINCES ST, COTTESLOE",Non Strata,1250000,2015-06-06,Y
"16 C PRINCES ST, COTTESLOE",Non Strata,1680000,2013-12-15,Y
"16/17 PRINCES ST, COTTESLOE",Strata,863000,2021-12-17,N
"10/22 JOHN ST, COTTESLOE",Strata,1345000,2021-09-03,N
"63/L77 BROOME ST, COTTESLOE",Vacant,50,2007-03-06,N
"8/22 SALVADO ST, COTTESLOE",Strata,1545000,2022-01-25,N
"1/8 AVONMORE TCE, COTTESLOE",Non Strata,560000,1998-04-02,Y
"2/8 AVONMORE TCE, COTTESLOE",Non Strata,1125000,2004-06-06,Y
"2/8 AVONMORE TCE, COTTESLOE",Non Strata,1125000,2004-06-06,Y
"3/8 AVONMORE TCE, COTTESLOE",Non Strata,3975000,2017-05-09,Y
"L85 AVONMORE TCE, COTTESLOE",Vacant,12500,2016-10-24,N
"15 BEACH ST, COTTESLOE",Non Strata,272000,1988-09-05,Y
"15 BEACH ST, COTTESLOE",Non Strata,2100000,2021-06-02,Y
"15 BEACH ST, COTTESLOE",Non Strata,2150000,2021-09-26,Y
"18 A MACARTHUR ST, COTTESLOE",Non Strata,465000,2002-03-24,Y
"31 B CURTIN AV, COTTESLOE",Non Strata,1230000,2013-06-21,Y
"31 CURTIN AV, COTTESLOE",Non Strata,1230000,2013-06-21,Y
"10 L MACARTHUR ST, COTTESLOE",Non Strata,550000,1992-01-20,Y
"31 CURTIN AV, COTTESLOE",Non Strata,285000,1996-04-02,Y
"7/4 WARNHAM RD, COTTESLOE",Strata,1295000,2023-10-08,N
"L8 PEARSE ST, COTTESLOE",Non Strata,3950000,2008-08-31,Y
"L7 PEARSE ST, COTTESLOE",Non Strata,3000000,2006-04-19,Y
"4/11 ROSENDO ST, COTTESLOE",Strata,950000,2023-09-15,N
"6 PRINCES ST, COTTESLOE",Non Strata,644000,1996-04-12,N
"20/34 MARINE PDE, COTTESLOE",Strata,860000,2021-12-23,N
"104 MARINE PDE, COTTESLOE",Non Strata,7500000,2021-11-19,N
"26 ALBION ST, COTTESLOE",Non Strata,205000,1994-12-21,Y
