address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"2 SALVADO ST, COTTESLOE",RES,Non Strata,15600000,2022-07-25,N,1492
"1/120 MARINE PDE, COTTESLOE",RES,Strata,13088000,2021-10-06,Y,561
"4/120 MARINE PDE, COTTESLOE",RES,Strata,13088000,2021-10-06,Y,561
"6/120 MARINE PDE, COTTESLOE",RES,Strata,13088000,2021-10-06,Y,561
"7/120 MARINE PDE, COTTESLOE",COM,Strata,13088000,2021-10-06,Y,561
"2/120 MARINE PDE, COTTESLOE",RES,Strata,13088000,2021-10-06,Y,561
"3/120 MARINE PDE, COTTESLOE",RES,Strata,13088000,2021-10-06,Y,561
"5/120 MARINE PDE, COTTESLOE",RES,Strata,13088000,2021-10-06,Y,561
"3 EILEEN ST, COTTESLOE",RES,Non Strata,12522250,2022-03-07,Y,759
"3 A EILEEN ST, COTTESLOE",RES,Non Strata,12522250,2022-03-07,Y,759
"23 ANDREWS PL, COTTESLOE",RES,Non Strata,12000000,2023-07-21,N,728.434
"529 STIRLING HWY, COTTESLOE",COM,Non Strata,11800000,2023-04-11,N,2074
"7 STATION ST, COTTESLOE",COM,Non Strata,11000000,2019-10-28,N,1606
"11 STATION ST, COTTESLOE",COM,Non Strata,11000000,2019-10-28,N,1626
"3 WEBB ST, COTTESLOE",RES,Non Strata,11000000,2017-04-21,N,2166
"15 PEARSE ST, COTTESLOE",RES,Non Strata,10500000,2007-10-11,N,1027
"4 OZONE PDE, COTTESLOE",RES,Non Strata,10250000,2021-03-28,N,675.319
"50 MARINE PDE, COTTESLOE",RES,Non Strata,10220000,2014-02-25,Y,388
"50 MARINE PDE, COTTESLOE",RES,Non Strata,10220000,2014-02-25,Y,994
"40 A JARRAD ST, COTTESLOE",COM,Non Strata,10000000,2017-09-29,Y,435.037
"40 JARRAD ST, COTTESLOE",COM,Non Strata,10000000,2017-09-29,Y,435.037
"116 BROOME ST, COTTESLOE",RES,Non Strata,9150000,2022-01-10,Y,649.975
"116 A BROOME ST, COTTESLOE",RES,Non Strata,9150000,2022-01-10,Y,325
"66 BROOME ST, COTTESLOE",RES,Non Strata,9000000,2023-05-01,N,860
"7 AVONMORE TCE, COTTESLOE",RES,Non Strata,8800000,2017-03-02,N,1031.023
"11 CLARENDON ST, COTTESLOE",RES,Non Strata,8500000,2021-09-14,N,1422
"1 A BEACH ST, COTTESLOE",RES,Non Strata,8375000,2018-07-07,N,865
"36 ERIC ST, COTTESLOE",COM,Non Strata,8000000,2009-09-30,N,2023
"13 PEARSE ST, COTTESLOE",RES,Non Strata,7550000,2016-11-04,N,1007
"118 MARINE PDE, COTTESLOE",COM,Non Strata,7500000,2007-05-29,N,541.846
"19 A PEARSE ST, COTTESLOE",RES,Non Strata,7400000,2008-04-21,N,910.543
"16 CLARENDON ST, COTTESLOE",RES,Non Strata,7350000,2022-01-21,N,637
"2 HAWKSTONE ST, COTTESLOE",RES,Non Strata,7250000,2013-10-19,N,733
"2 TORRENS CT, COTTESLOE",RES,Non Strata,7100000,2020-08-28,N,527
"191 BROOME ST, COTTESLOE",RES,Non Strata,7000000,2019-06-20,N,658
"3 A ROSSER ST, COTTESLOE",RES,Non Strata,7000000,2023-01-22,N,445
"62 BROOME ST, COTTESLOE",RES,Non Strata,7000000,2021-05-15,N,943.423
"14 FLORENCE ST, COTTESLOE",RES,Non Strata,6950000,2022-03-05,N,1144
"10 OZONE PDE, COTTESLOE",RES,Non Strata,6900000,2022-12-14,N,675.319
"17 ANDREWS PL, COTTESLOE",RES,Non Strata,6825000,2020-01-24,N,1375
"4 TORRENS CT, COTTESLOE",RES,Non Strata,6700000,2022-08-06,N,456
"3 NAILSWORTH ST, COTTESLOE",RES,Non Strata,6600000,2020-09-11,N,1082
"4 GRAHAM CT, COTTESLOE",RES,Non Strata,6575000,2022-11-03,N,717
"164 MARINE PDE, COTTESLOE",RES,Vacant,6500000,2016-05-18,N,708.144
"239 BROOME ST, COTTESLOE",RES,Non Strata,6350000,2022-04-10,N,652.556
"22 MARINE PDE, COTTESLOE",RES,Non Strata,6200000,2022-05-17,N,587
"59 LYONS ST, COTTESLOE",RES,Non Strata,6102000,2021-12-05,N,677.795
"39 JOHN ST, COTTESLOE",RES,Non Strata,6000000,2022-10-21,N,632
"1 D WARTON ST, COTTESLOE",RES,Non Strata,6000000,2018-01-06,N,707
"72 MARINE PDE, COTTESLOE",RES,Non Strata,6000000,2018-03-22,N,905
"2 DEANE ST, COTTESLOE",RES,Non Strata,6000000,2017-07-23,N,569
"47 BRIGHTON ST, COTTESLOE",RES,Non Strata,5900000,2023-08-31,N,647.497
"2 ANDREWS PL, COTTESLOE",RES,Non Strata,5900000,2023-08-28,N,657.614
"1/64 BROOME ST, COTTESLOE",RES,Strata,5850000,2022-07-14,N,925.718
"3 BEACH ST, COTTESLOE",RES,Non Strata,5825000,2022-04-11,N,452
"5 CLARENDON ST, COTTESLOE",RES,Non Strata,5820000,2007-08-04,N,1284
"1/3 PRINCES ST, COTTESLOE",RES,Strata,5800000,2023-04-06,N,335
"17 PEARSE ST, COTTESLOE",RES,Strata,5800000,2009-10-10,N,910.543
"44 MARINE PDE, COTTESLOE",RES,Non Strata,5760000,2011-11-20,N,823
"16 GRANT ST, COTTESLOE",RES,Non Strata,5750000,2017-04-29,N,451
"4/50 A MARGARET ST, COTTESLOE",RES,Strata,5700000,2022-06-27,N,1130.591
"22 GRANT ST, COTTESLOE",RES,Non Strata,5700000,2006-07-01,N,678
"244 MARINE PDE, COTTESLOE",RES,Non Strata,5600000,2022-10-12,N,364.217
"42 C MARINE PDE, COTTESLOE",RES,Strata,5600000,2023-09-01,N,713
"3 ROSSER ST, COTTESLOE",RES,Non Strata,5550000,2021-12-18,N,445
