address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"11/94 MARINE PDE, COTTESLOE",residential,Strata,1000000,2019-11-15,N,2524
"2 FORREST ST, COTTESLOE",residential,Non Strata,2412810,1997-09-15,N,1266
"13/116 MARINE PDE, COTTESLOE",residential,Strata,1600000,2024-02-14,N,1102
"12/116 MARINE PDE, COTTESLOE",residential,Strata,1300000,2023-08-02,N,1102
"1/2 OVERTON GDNS, COTTESLOE",residential,Strata,1000000,2022-07-15,N,559
"6/4 WARNHAM RD, COTTESLOE",residential,Strata,902000,2022-10-22,N,564
"7/4 WARNHAM RD, COTTESLOE",residential,Strata,1295000,2023-10-08,N,564
"110-112 MARINE PDE, COTTESLOE",commercial,Non Strata,4000000,2003-10-18,N,549
"3/120 MARINE PDE, COTTESLOE",residential,Strata,13088000,2021-10-06,Y,561
"1/6 FORREST ST, COTTESLOE",residential,Strata,1575000,2020-07-02,N,2541
"5/120 MARINE PDE, COTTESLOE",residential,Strata,13088000,2021-10-06,Y,561
"7/120 MARINE PDE, COTTESLOE",commercial,Strata,13088000,2021-10-06,Y,561
"5 A OVERTON GDNS, COTTESLOE",commercial,Vacant,360000,1999-02-18,N,265
"5 A OVERTON GDNS, COTTESLOE",residential,Non Strata,3000000,2015-06-22,N,265
"118 MARINE PDE, COTTESLOE",commercial,Non Strata,7500000,2007-05-29,N,541.846
"3 A NAPIER ST, COTTESLOE",residential,Non Strata,3550000,2024-02-28,N,301
"3 A NAPIER ST, COTTESLOE",residential,Non Strata,3600000,2022-02-01,N,301
"3 A NAPIER ST, COTTESLOE",commercial,Vacant,1160000,2001-03-06,N,301
"1/120 MARINE PDE, COTTESLOE",residential,Strata,13088000,2021-10-06,Y,561
"2/120 MARINE PDE, COTTESLOE",residential,Strata,13088000,2021-10-06,Y,561
"6/120 MARINE PDE, COTTESLOE",residential,Strata,13088000,2021-10-06,Y,561
"4/120 MARINE PDE, COTTESLOE",residential,Strata,13088000,2021-10-06,Y,561
"6/122 MARINE PDE, COTTESLOE",residential,Strata,1550000,2021-08-13,N,549
"11/134 MARINE PDE, COTTESLOE",residential,Strata,2025000,2022-03-12,N,2438
"138 MARINE PDE, COTTESLOE",residential,Vacant,2550000,2014-08-01,N,297
"4 FORREST ST, COTTESLOE",residential,Non Strata,3475000,2007-05-14,N,794
"4 A FORREST ST, COTTESLOE",residential,Non Strata,1900000,2004-05-19,N,460
"1 E JOHN ST, COTTESLOE",residential,Strata,2850000,2023-04-09,N,1252
"2/5 JOHN ST, COTTESLOE",residential,Strata,400000,2001-12-21,N,627
"1 A JOHN ST, COTTESLOE",residential,Strata,2700000,2024-03-14,N,1252
"2/160 MARINE PDE, COTTESLOE",residential,Strata,1312800,1998-05-26,Y,824.482
"3/7 JOHN ST, COTTESLOE",residential,Strata,1000000,2014-10-17,N,637
"8 WARNHAM RD, COTTESLOE",residential,Non Strata,2240000,2005-02-12,N,564
"8 OVERTON GDNS, COTTESLOE",residential,Non Strata,3100000,2019-02-08,N,559
"5/10 OVERTON GDNS, COTTESLOE",residential,Strata,500000,2019-11-18,N,1118
"6 OVERTON GDNS, COTTESLOE",residential,Non Strata,2950000,2015-10-15,N,559
"4 OVERTON GDNS, COTTESLOE",residential,Non Strata,3000000,2015-12-11,N,559
"5 D OVERTON GDNS, COTTESLOE",commercial,Vacant,405000,1999-02-09,N,265
"5 D OVERTON GDNS, COTTESLOE",residential,Non Strata,2600000,2023-06-26,N,265
"9 OVERTON GDNS, COTTESLOE",residential,Non Strata,910000,2023-04-20,Y,559
"5/9 OVERTON GDNS, COTTESLOE",residential,Non Strata,111000,1994-01-28,Y,559
"2/9 OVERTON GDNS, COTTESLOE",residential,Non Strata,80000,1990-09-20,N,559
"8/9 OVERTON GDNS, COTTESLOE",residential,Non Strata,170000,1998-10-16,N,559
"3 B NAPIER ST, COTTESLOE",residential,Vacant,1825000,2020-06-30,N,300.662
"3 B NAPIER ST, COTTESLOE",commercial,Vacant,625000,2000-04-20,N,300.662
"5 C OVERTON GDNS, COTTESLOE",commercial,Vacant,380000,1999-03-03,N,265
"3 C NAPIER ST, COTTESLOE",residential,Non Strata,2770000,2020-01-13,N,300.662
"3 C NAPIER ST, COTTESLOE",commercial,Vacant,580000,1998-12-08,N,300.662
"3 D NAPIER ST, COTTESLOE",residential,Non Strata,4250000,2024-03-10,N,300.649
"3 D NAPIER ST, COTTESLOE",commercial,Vacant,630000,2000-06-24,N,300.649
"7 A OVERTON GDNS, COTTESLOE",residential,Strata,1200000,2016-05-19,N,559
"5 E OVERTON GDNS, COTTESLOE",commercial,Vacant,390000,1998-10-07,N,265
"5 E OVERTON GDNS, COTTESLOE",residential,Non Strata,2315000,2020-02-15,N,265
"5 B OVERTON GDNS, COTTESLOE",residential,Non Strata,4088000,2019-04-23,N,265
"5 B OVERTON GDNS, COTTESLOE",commercial,Vacant,380000,1999-03-08,N,265
"3 E NAPIER ST, COTTESLOE",commercial,Vacant,615000,2000-03-14,N,283
"1 EILEEN ST, COTTESLOE",commercial,Vacant,2130000,2005-06-29,N,758
