address,data_source,sale_amount,sale_date,multi_lot_sale,land_area
"66 MARINE PDE, COTTESLOE",residential,6312500,2023-11-29,Y,727
"351 MARMION ST, COTTESLOE",residential,3000000,2023-10-24,N,644.968
"9 SALVADO ST, COTTESLOE",residential,6750000,2023-08-23,N,911
"4 A BIRD ST, COTTESLOE",residential,1040000,2023-05-30,N,340
"4 B BIRD ST, COTTESLOE",residential,1290000,2023-05-29,N,404
"6 KILN LANE, COTTESLOE",residential,2600000,2023-03-16,N,500
"60 B BROOME ST, COTTESLOE",residential,4000000,2022-12-06,N,472
"60 A BROOME ST, COTTESLOE",residential,4000000,2022-11-30,N,472
"17 AVONMORE TCE, COTTESLOE",residential,1400000,2022-09-13,N,331
"26 VERA ST, COTTESLOE",residential,950000,2022-08-27,N,284
"17 A AVONMORE TCE, COTTESLOE",residential,1500000,2022-08-11,N,337
"251 A CURTIN AV, COTTESLOE",residential,1018000,2021-08-09,N,350
"2 C GADSDON ST, COTTESLOE",residential,2150000,2021-06-23,N,207
"351 MARMION ST, COTTESLOE",residential,2700000,2021-05-03,N,644.968
"2 B GADSDON ST, COTTESLOE",residential,2000000,2021-02-12,N,189
"2 BROOME ST, COTTESLOE",residential,1300000,2021-02-02,N,267
"5 WENTWORTH ST, COTTESLOE",residential,1025000,2020-12-23,N,280.728
"8 GADSDON ST, COTTESLOE",residential,3510000,2020-11-21,N,613
"98 RAILWAY ST, COTTESLOE",residential,1800000,2020-09-11,N,576
"126 RAILWAY ST, COTTESLOE",residential,3600000,2020-07-08,N,1476
