"sale_amount","sale_date","property_status","address","multi_lot_sale","land_area","suburb"
1150000,"1996-09-03","House","10 EILEEN ST, COTTESLOE","N",572,"COTTESLOE"
165000,"2001-04-30","Strata","12 ERIC ST, COTTESLOE","N",222,"COTTESLOE"
720000,"2001-01-10","Strata","10 ERIC ST, COTTESLOE","N",425,"COTTESLOE"
2000000,"2013-12-05","House","16 GADSDON ST, COTTESLOE","N",297,"COTTESLOE"
2200000,"2005-09-12","House","21 ERIC ST, COTTESLOE","N",718.26,"COTTESLOE"
1450000,"2003-03-04","House","14 GADSDON ST, COTTESLOE","N",297,"COTTESLOE"
880000,"2017-05-13","Strata","10 C GADSDON ST, COTTESLOE","N",320,"COTTESLOE"
3800000,"2008-02-16","House","4 GERALDINE ST, COTTESLOE","N",708.144,"COTTESLOE"
750000,"1999-09-28","House","4 HAMERSLEY ST, COTTESLOE","N",574,"COTTESLOE"
2700000,"2018-08-24","House","20 ERIC ST, COTTESLOE","N",563,"COTTESLOE"
1800000,"2009-10-16","House","18 ERIC ST, COTTESLOE","N",415,"COTTESLOE"
3750000,"2008-01-21","House","10 GERALDINE ST, COTTESLOE","N",708.144,"COTTESLOE"
3000000,"2022-08-18","House","29 A ERIC ST, COTTESLOE","N",354,"COTTESLOE"
5100000,"2022-03-31","House","27 A ERIC ST, COTTESLOE","N",354,"COTTESLOE"
2780000,"2007-08-13","House","29 ERIC ST, COTTESLOE","N",354,"COTTESLOE"
4340000,"2019-03-14","House","6 GERALDINE ST, COTTESLOE","N",708.144,"COTTESLOE"
2020000,"2016-10-09","House","22 ERIC ST, COTTESLOE","N",607,"COTTESLOE"
3800000,"2021-04-19","House","11 TORRENS ST, COTTESLOE","N",409,"COTTESLOE"
1600000,"2005-10-26","House","24 ERIC ST, COTTESLOE","N",462,"COTTESLOE"
3500000,"2020-10-24","House","26 ERIC ST, COTTESLOE","N",343,"COTTESLOE"
485000,"1995-12-23","House","28 ERIC ST, COTTESLOE","N",607,"COTTESLOE"
2025000,"2019-08-03","House","145 BROOME ST, COTTESLOE","N",682.853,"COTTESLOE"
